internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_CRED_USER_NOT_REGISTERED,You are not eligible to pay via CRED as you are not a CRED member.\n Please use another method to complete your payment.,input_validation_failed,Technical,customer,payment_authorization,N,
BAD_REQUEST_CRED_CUSTOMER_NOT_ELIGIBLE,You are not eligible to pay via CRED as you are not a CRED member.\n Please use another method to complete your payment.,input_validation_failed,Technical,customer,payment_authorization,N,
BAD_REQUEST_MISSING_HEADERS,It seems that there are some details missing in the request for this API call.,incorrect_request,Technical,internal,payment_authorization,N,
BAD_REQUEST_INVALID_TRACKING_ID,The order for which you are trying to place a request does not exist in our system. Request is being made via an incorrect tracking ID.,incorrect_request,Technical,provider,payment_authorization,N,
BAD_REQUEST_PAYMENT_DUPLICATE_REQUEST,The request for this tracking id is in progress already.,incorrect_request,Technical,provider,payment_authorization,N,
GATEWAY_ERROR_PAYMENT_REFUND_FAILED,The refund is being request for an order which is in progress. Please initiate a refund request once the order is complete.,gateway_technical_error,Technical,provider,payment_authorization,I,
GATEWAY_ERROR_REFUND_AMOUNT_GREATER_THAN_CAPTURED,The refund amount being requested is higher than the original order amount. Hence this refund cannot be processed.,incorrect_request,Technical,provider,payment_authorization,I,
GATEWAY_ERROR_INTERNAL_SERVER_ERROR,Something went wrong. Please try again or use another method to complete your payment.,gateway_technical_error,Technical,customer,payment_authorization,I,
BAD_REQUEST_CRED_MISSING_FIELDS_MESSAGE,Something went wrong. Please try again or use another method to complete your payment.,incorrect_request,Technical,customer,payment_authorization,I,
BAD_REQUEST_CRED_PENDING_USER,You are not eligible to pay via CRED as you are not a CRED member.\n Please use another method to complete your payment.,gateway_technical_error,Technical,customer,payment_authorization,D,
BAD_REQUEST_CRED_CARD_NOT_VERIFIED,You do not have a verified card on CRED to use this payment method.\n Please use another method to complete your payment.,gateway_technical_error,Business,customer,payment_authorization,D,
BAD_REQUEST_CRED_WAITLISTED_USER,You are not eligible to pay via CRED as you are not a CRED member.\n Please use another method to complete your payment.,gateway_technical_error,Business,customer,payment_authorization,D,
BAD_REQUEST_CRED_UNSUPPORTED_APP_VERSION,You do not have the latest CRED app version to make this payment via CRED.\n Please use another method to complete your payment.,gateway_technical_error,Business,customer,payment_authorization,D,
BAD_REQUEST_CRED_NO_SUPPORTED_APP_VERSION,You do not have the latest CRED app version to make this payment via CRED.\n Please use another method to complete your payment.,gateway_technical_error,Business,customer,payment_authorization,D,
BAD_REQUEST_CRED_INACTIVE_USER,You are not eligible to pay via CRED as you are not a CRED member.\n Please use another method to complete your payment.,gateway_technical_error,Business,customer,payment_authorization,D,
BAD_REQUEST_CRED_BLOCKED_USER,You CRED account is blocked. Please reach out to support@cred.club to unblock your account and enable this payment method.,gateway_technical_error,Business,customer,payment_authorization,N,
GATEWAY_ERROR_CRED_RESERVED_ERROR,Download CRED app and activate your membership to unlock this payment option and avail exclusive discounts.,server_error,Technical,customer,payment_authorization,N,
BAD_REQUEST_DISCOUNT_GREATER_THAN_BASE_AMOUNT,Discount amount greater than base amount,incorrect_request,Business,internal,payment_authorization,N,
BAD_REQUEST_PAYMENT_CRED_NOT_ENABLED_FOR_MERCHANT,CRED payment method is not enabled. Please complete your payment via other payment mode.,incorrect_request,Technical,customer,payment_authorization,N,
BAD_REQUEST_PAYMENT_APP_NOT_ENABLED_FOR_MERCHANT,Payment method is not enabled. Please complete your payment via other payment mode.,incorrect_request,Technical,customer,payment_authorization,N,
